variable,type,question_text,levels,reverse,logic,qa_role,notes,scale_group
q_email,character,"NA, embedded data",NA,NA,NA,NA,Respondent email,NA
q_age,numeric,What is your age in years?,NA,NA,Numeric input required,NA,Must be numeric,NA
q_gender,single_select,What is your gender?,"1 = Male, 2 = Female, 3 = Non-binary, 4 = Prefer to self-describe:, 5 = Prefer not to say",FALSE,NA,NA,Respondent gender,NA
q_gender_text,character,What is your gender?,NA,FALSE,Text entry option for folks who prefer to self-describe,NA,Respondent gender self-description,NA
q_education,single_select,What is the highest level of education you have completed?,"1 = Less than high school, 2 = High school diploma, 3 = Some college, 4 = Bachelor's degree, 5 = Master's degree, 6 = Doctorate degree, 7 = Prefer not to say",FALSE,NA,NA,Respondent education level,NA
q1_satisfaction,likert,"Overall, I am satisfied with the performance of my current running shoes.","1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Satisfaction item 1,satisfaction
q2_satisfaction,likert,I am satisfied with the comfort of my current running shoes.,"1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Satisfaction item 2,satisfaction
q3_satisfaction,likert,I am satisfied with the durability of my current running shoes.,"1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Satisfaction item 3,satisfaction
q4_satisfaction,likert,I am satisfied with the style and design of my current running shoes.,"1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Satisfaction item 4,satisfaction
q5_satisfaction,likert,I am satisfied with the value for money of my current running shoes.,"1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Satisfaction item 5,satisfaction
q6_trust,likert,"When thinking about your current brand of running shoe, I trust this brand to provide high-quality products.”","1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Trust item 1,trust
q7_trust,likert,"When thinking about your current brand of running shoe, I believe this brand delivers on its advertised features (comfort, durability, performance).","1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Trust item 2,trust
q8_trust,likert,"When thinking about your current brand of running shoe, I would recommend this brand to other runners.","1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Trust item 3,trust
q9_trust,likert,"When thinking about your current brand of running shoe, I feel confident that this brand cares about runners’ needs.","1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Trust item 4,trust
q10_trust,likert,"When thinking about your current brand of running shoe, I trust this brand to provide accurate sizing information.","1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options. Rotate satisfaction and trust blocks.,scale,Trust item 5,trust
q11_multiselect_Salomon,multi_select,Which running shoe brands would you be most likely to purchase next? (Select up to 3),1 = Salomon,FALSE,Randomize with other response options,multi_select,Up to three brands can be selected,NA
q11_multiselect_Topo,multi_select,Which running shoe brands would you be most likely to purchase next? (Select up to 3),1 = Topo,FALSE,Randomize with other response options,multi_select,Up to three brands can be selected,NA
q11_multiselect_Saucony,multi_select,Which running shoe brands would you be most likely to purchase next? (Select up to 3),1 = Saucony,FALSE,Randomize with other response options,multi_select,Up to three brands can be selected,NA
q11_multiselect_Brooks,multi_select,Which running shoe brands would you be most likely to purchase next? (Select up to 3),1 = Brooks,FALSE,Randomize with other response options,multi_select,Up to three brands can be selected,NA
q11_multiselect_Asics,multi_select,Which running shoe brands would you be most likely to purchase next? (Select up to 3),1 = Asics,FALSE,Randomize with other response options,multi_select,Up to three brands can be selected,NA
q11_multiselect_Hoka,multi_select,Which running shoe brands would you be most likely to purchase next? (Select up to 3),1 = Hoka,FALSE,Randomize with other response options,multi_select,Up to three brands can be selected,NA
q11_multiselect_Other_Brand,multi_select,Which running shoe brands would you be most likely to purchase next? (Select up to 3),"1 = A different brand, not listed here",FALSE,Anchor within question,multi_select,Up to three brands can be selected,NA
q12_likert,likert,Please indicate how much you agree or disagree with the following statement: Running is an important part of my weekly routine.,"1 = Strongly Disagree, 2 = Disagree, 3 = Neither Agree Nor Disagree, 4 = Agree, 5 = Strongly Agree",FALSE,Rotate response options,NA,Standalone Likert item,NA
q13_attention,single_select,"To show you’re paying attention, please select ‘Yes, I’m paying attention’ for this question.","1 = Yes, I'm paying attention, 2 = Just clicking this button, 3 = I'm definitely not paying attention, 4 = Just here for the vibes",FALSE,Randomize response options,attention_check,"Should select “Yes, I'm paying attention”",NA
q14_text,character,What did you think about the video you just watched?,NA,NA,NA,text_review,"Respondents were shown a video about running shoes. For QA, responses may be nonsensical or repeated",NA
q15_miles_per_week,numeric,"In your last full week of running, about how many miles did you run?",NA,NA,Numeric input required,screener_flag,All respondents must run at least once per week; 0 is suspicious,NA
